Index	Dutch	English	Indonesian
1487	kom hier, vlug!	come, quickly!	kemari, lekas!
1488	ik wil niet	I do not want to	saya tak mau
1489	hij wil niet	he does not want to	dia tidak mau
1490	ik wil wel	I would like to	saya suka / saya mau
1491	wil je of niet?	do you want to or not?	mau engkau atau tidak? / engkau mau atau tidak?
1492	ga maar zitten!	have a seat!	duduklah!
1493	waarom huil je?	why are you crying?	mengapa engkau menangis?
1494	ik kan het niet	I can not	saya tak bisa
1495	ik weet het nog niet	I do not know yet	saya belum tahu
1496	ik weet het al	I already know that	saya sudah tahu
1497	zet het neer!	put it down	letakkanlah!
1498	waar ga je heen?	where are you going?	engkau hendak ke mana?
1499	waar kom je vandaan?	where have you been?	engkau dari mana?
1500	wacht even	Just a moment	nanti dulu
1501	ik sta het niet toe	I do not allow it	saya tak mengijinkan
1502	hij is al dood	he is dead	dia sudah mati
1503	hij is nog niet dood	he is not dead yet	dia belum mati
1504	zet het op het vuur	put it on the fire	jerangkanlah ; letakkanlah di atas api
1505	het kookt al	it is already boiling	sudah mendidih
1506	het is al gaar	it is done	sudah masak ; sudah matang
1507	het eten is klaar	the food is ready	makanan sudah siap
1508	ik ga eerst baden	I am going to bathe first	saya pergi mandi dahulu
1509	heb je al gebaad?	have you bathed yet?	engkau sudah mandi?
1510	wat vraag je?	what did you ask?	engkau bertanya apa?
1511	wat verzoek je?	what do you want	engkau meminta apa?
1512	goede reis!	have a safe journey!	selamat jalan!
1513	laat ons nu vertrekken	let us go now	marilah kita berangkat sekarang
1514	twee mannen zullen morgen vertrekken	tomorrow two men will go away	besok akan berangkat dua orang laki-laki
1515	eet deze gekookte rijst op	eat up this rice	habiskanlah nasi ini
1516	eet deze gekookte rijst op (meerv.)	eat up this rice (pl.)	habiskanlah nasi ini (jamak)
1517	ik wil een kip kopen	I want to buy a chicken	saya hendak membeli seekor ayam
1518	het varken dat ik gedood heb	the pig which I killed	babi yang sudah saya bunuh
1519	welke kralen zijn voor mij?	which beads are for me?	manik-manik manakah yang untuk saya?
1520	wij zullen eerst over 10 dagen vertrekken	we will not leave for another ten days	sepuluh hari lagi baru kami berangkat
1521	hij zegt dat N.N. vertrokken is	he says that Mr X has gone	katanya si Anu sudah berangkat
